iter	RMSE
0	0.3809920225
1	0.3675997276
2	0.3548482588
3	0.342619925
4	0.3316196102
5	0.3206313985
6	0.3114063412
7	0.3030003455
8	0.2938261808
9	0.2851063532
10	0.2781941704
11	0.2706421959
12	0.2644640559
13	0.2576570045
14	0.2521341633
15	0.2466894353
16	0.2416343366
17	0.2368276872
18	0.2328916609
19	0.2282152168
20	0.2240622968
21	0.2202662048
22	0.2163316054
23	0.213472535
24	0.2100043881
25	0.2062701252
26	0.2033266247
27	0.2007141596
28	0.1981796277
29	0.1956087068
30	0.1930493842
31	0.190478404
32	0.1881648609
33	0.1860447829
34	0.1838052347
35	0.1824634819
36	0.1802729957
37	0.1785700501
38	0.1767880552
39	0.174829204
40	0.1729465558
41	0.1713771344
42	0.1701228667
43	0.1687757233
44	0.1673034824
45	0.1657681171
46	0.1645869234
47	0.1633951447
48	0.1621579299
49	0.1610000309
50	0.1597551875
51	0.1589929246
52	0.1578748837
53	0.1567784378
54	0.1555696098
55	0.1547477443
56	0.1537726216
57	0.1526933087
58	0.1519131818
59	0.1511721351
60	0.1504163205
61	0.1496713141
62	0.1490394202
63	0.1483020838
64	0.1478065412
65	0.1473629395
66	0.1467641985
67	0.1462016271
68	0.1454543005
69	0.1447869907
70	0.1443429582
71	0.14370257
72	0.1432113862
73	0.1427211075
74	0.1424347763
75	0.1419749737
76	0.1414152503
77	0.1407927294
78	0.1405799542
79	0.1401315189
80	0.139415485
81	0.1391054998
82	0.1386414004
83	0.1381426028
84	0.137826375
85	0.1373866547
86	0.1369800582
87	0.1366585168
88	0.1362272888
89	0.1359432994
90	0.1355755944
91	0.1354062226
92	0.1348273255
93	0.1343193849
94	0.1339291352
95	0.1335507642
96	0.1333977057
97	0.1332538515
98	0.132773133
99	0.1325360185
100	0.1321763532
101	0.1317911823
102	0.1315298169
103	0.1313128147
104	0.131005421
105	0.1307620365
106	0.1304425489
107	0.1300294032
108	0.1293832159
109	0.1290865717
110	0.128569201
111	0.1283713478
112	0.1280477945
113	0.1278679834
114	0.1276497255
115	0.1274086031
116	0.1271577015
117	0.1269612328
118	0.1265883264
119	0.1264609907
120	0.1262356235
121	0.1258671499
122	0.1257337473
123	0.1252122086
124	0.1249163335
125	0.1247096546
126	0.1242645762
127	0.1239491472
128	0.1236453358
129	0.1233496706
130	0.1231535913
131	0.1229970737
132	0.1228133365
133	0.1225328147
134	0.1224473678
135	0.1223409612
136	0.122205688
137	0.1220944525
138	0.1219078835
139	0.1216156103
140	0.1215394735
141	0.1214221277
142	0.1212939738
143	0.1210750983
144	0.1208435434
145	0.1207195091
146	0.1206278554
147	0.1204449687
148	0.1202303299
149	0.1200770742
150	0.1197994057
151	0.1196416326
152	0.119254653
153	0.1191533591
154	0.1190316306
155	0.118969488
156	0.1187369224
157	0.1186113164
158	0.1182701614
159	0.1180952411
160	0.1179268561
161	0.1176365388
162	0.117462911
163	0.1172295548
164	0.1170687464
165	0.1170608325
166	0.1169767753
167	0.1168680966
168	0.1167244941
169	0.1165821015
170	0.1164321874
171	0.1162950979
172	0.1162272264
173	0.1161132764
174	0.1160570681
175	0.1159616662
176	0.1158436706
177	0.1156502702
178	0.1154424414
179	0.1152861778
180	0.1151799052
181	0.1150289801
182	0.1148898093
183	0.1148225052
184	0.1147789552
185	0.1146671504
186	0.1145015254
187	0.1143402588
188	0.1142428853
189	0.114152174
190	0.1140808536
191	0.1138492469
192	0.1137960008
193	0.1137092955
194	0.1136801239
195	0.1135264669
196	0.1134365123
197	0.1134326339
198	0.1133871461
199	0.1131794017
200	0.1131132313
201	0.1129993529
202	0.1128745538
203	0.1127134747
204	0.112629463
205	0.112526495
206	0.1124228235
207	0.1123533902
208	0.1123041145
209	0.1122585049
210	0.1121654851
211	0.1121001468
212	0.1120593332
213	0.1119446744
214	0.1118633364
215	0.1117622282
216	0.1117011585
217	0.1116275969
218	0.1113994784
219	0.1113602255
220	0.1112473342
221	0.111177653
222	0.111111643
223	0.1110549582
224	0.1109167403
225	0.1108813969
226	0.1107183488
227	0.1106301108
228	0.1106089135
229	0.1105601247
230	0.1104015551
231	0.1102510194
232	0.1101625927
233	0.1101430306
234	0.1100772798
235	0.1100445668
236	0.1099854035
237	0.1098135444
238	0.1098018078
239	0.1096786374
240	0.1096231299
241	0.1096123398
242	0.1096110581
243	0.1096099466
244	0.1094925943
245	0.1094423732
246	0.1093637506
247	0.109349114
248	0.1092912068
249	0.1092907012
250	0.1091424352
251	0.109076648
252	0.1088641288
253	0.1086725722
254	0.1085209815
