iter	Passed	Remaining
0	6	6050
1	11	5686
2	15	5209
3	19	4903
4	22	4538
5	28	4638
6	32	4582
7	36	4501
8	39	4336
9	43	4298
10	47	4261
11	51	4233
12	55	4200
13	59	4217
14	64	4208
15	68	4204
16	72	4170
17	76	4186
18	80	4161
19	84	4154
20	88	4144
21	93	4140
22	96	4115
23	101	4111
24	104	4093
25	109	4099
26	112	4053
27	116	4048
28	120	4037
29	124	4039
30	128	4028
31	132	4021
32	136	4012
33	141	4010
34	145	3999
35	149	3994
36	153	3993
37	157	3994
38	162	4006
39	167	4029
40	172	4025
41	176	4019
42	180	4016
43	184	4013
44	188	3991
45	192	3986
46	196	3978
47	206	4090
48	210	4085
49	214	4079
50	218	4067
51	222	4062
52	226	4050
53	231	4047
54	235	4038
55	239	4034
56	243	4027
57	250	4074
58	256	4089
59	260	4079
60	264	4071
61	270	4092
62	277	4127
63	283	4139
64	287	4132
65	291	4130
66	299	4171
67	304	4172
68	308	4164
69	313	4158
70	317	4157
71	322	4153
72	327	4154
73	332	4157
74	336	4152
75	341	4150
76	351	4213
77	356	4210
78	361	4212
79	366	4219
80	371	4211
81	375	4201
82	379	4190
83	383	4182
84	387	4175
85	392	4167
86	396	4158
87	400	4149
88	404	4142
89	409	4136
90	413	4126
91	417	4117
92	421	4107
93	425	4100
94	429	4092
95	433	4086
96	438	4078
97	443	4077
98	447	4070
99	451	4063
100	455	4055
101	459	4048
102	463	4040
103	468	4034
104	472	4025
105	476	4016
106	479	4005
107	484	3998
108	488	3989
109	492	3982
110	496	3974
111	500	3969
112	504	3961
113	508	3953
114	512	3946
115	516	3939
116	520	3931
117	525	3924
118	529	3918
119	533	3912
120	537	3903
121	541	3896
122	545	3889
123	549	3884
124	553	3876
125	558	3873
126	562	3868
127	567	3867
128	572	3862
129	576	3857
130	579	3845
131	583	3839
132	588	3833
133	593	3832
134	597	3826
135	601	3820
136	605	3813
137	609	3806
138	613	3798
139	617	3792
140	621	3785
141	625	3778
142	629	3771
143	633	3765
144	637	3757
145	641	3752
146	645	3746
147	649	3741
148	653	3734
149	657	3723
150	661	3718
151	665	3712
152	669	3706
153	673	3700
154	677	3692
155	681	3687
156	685	3681
157	689	3676
158	694	3671
159	698	3667
160	702	3661
161	706	3656
162	711	3651
163	715	3647
164	719	3640
165	723	3635
166	727	3631
167	732	3626
168	736	3620
169	740	3617
170	744	3610
171	748	3604
172	752	3598
173	757	3593
174	761	3587
175	765	3581
176	769	3576
177	773	3571
178	777	3565
179	781	3560
180	785	3553
181	789	3548
182	793	3542
183	797	3536
184	801	3531
185	805	3527
186	809	3521
187	814	3516
188	818	3511
189	822	3506
190	826	3501
191	831	3497
192	835	3492
193	839	3488
194	843	3482
195	848	3480
196	852	3474
197	856	3469
198	860	3463
199	864	3458
200	868	3452
201	871	3444
202	875	3438
203	879	3433
204	883	3427
205	888	3423
206	892	3417
207	896	3413
208	900	3406
209	904	3401
210	908	3396
211	912	3391
212	916	3386
213	920	3381
214	924	3376
215	929	3372
216	932	3366
217	937	3362
218	941	3356
219	945	3351
220	949	3346
221	953	3342
222	957	3337
223	962	3333
224	966	3328
225	970	3324
226	975	3320
227	979	3316
228	985	3318
229	989	3313
230	993	3308
231	998	3304
232	1002	3298
233	1006	3294
234	1010	3289
235	1013	3281
236	1018	3277
237	1027	3290
238	1035	3297
239	1045	3310
240	1086	3423
241	1091	3418
242	1094	3409
243	1097	3401
244	1101	3395
245	1106	3390
246	1110	3385
247	1113	3377
248	1117	3371
249	1130	3391
250	1145	3418
251	1160	3444
252	1172	3461
253	1184	3479
254	1196	3496
255	1208	3510
256	1219	3526
257	1230	3539
258	1243	3556
259	1247	3550
260	1251	3544
261	1256	3540
262	1261	3534
263	1265	3529
264	1369	3797
265	1384	3821
266	1395	3831
267	1402	3830
268	1407	3824
269	1411	3816
270	1423	3830
271	1435	3842
272	1443	3843
273	1451	3847
274	1458	3844
275	1466	3846
276	1479	3860
277	1489	3868
278	1496	3866
279	1503	3866
280	1509	3861
281	1518	3866
282	1527	3870
283	1532	3863
284	1536	3854
285	1541	3847
286	1545	3838
287	1549	3831
288	1554	3823
289	1558	3815
290	1581	3853
291	1590	3857
292	1596	3851
293	1601	3846
294	1606	3838
295	1610	3830
296	1621	3839
297	1629	3838
298	1636	3837
299	1643	3835
300	1651	3834
301	1658	3832
302	1670	3843
303	1677	3841
304	1684	3838
305	1692	3838
306	1699	3835
307	1705	3832
308	1715	3836
309	1720	3830
310	1725	3822
311	1730	3815
312	1734	3806
313	1738	3798
314	1742	3789
315	1746	3781
316	1750	3772
317	1755	3764
318	1766	3770
319	1770	3763
320	1775	3754
321	1779	3746
322	1783	3737
323	1787	3729
324	1791	3720
325	1795	3712
326	1799	3703
327	1803	3695
328	1814	3700
329	1819	3694
330	1823	3685
331	1828	3679
332	1833	3673
333	1838	3666
334	1844	3661
335	1849	3655
336	1854	3649
337	1865	3653
338	1869	3645
339	1873	3637
340	1877	3628
341	1882	3621
342	1886	3612
343	1890	3605
344	1894	3597
345	1899	3589
346	1903	3581
347	1913	3585
348	1917	3577
349	1922	3569
350	1925	3561
351	1930	3553
352	1933	3544
353	1937	3536
354	1941	3527
355	1946	3520
356	1950	3512
357	1956	3509
358	1964	3506
359	1968	3499
360	1972	3491
361	1976	3483
362	1980	3475
363	1985	3468
364	1989	3460
365	1993	3453
366	1997	3444
367	2001	3437
368	2007	3432
369	2011	3425
370	2015	3417
371	2019	3409
372	2023	3401
373	2027	3394
374	2031	3385
375	2035	3378
376	2039	3370
377	2043	3362
378	2048	3355
379	2053	3351
380	2058	3343
381	2062	3336
382	2066	3328
383	2070	3321
384	2074	3314
385	2078	3306
386	2082	3299
387	2087	3292
388	2091	3284
389	2095	3276
390	2098	3269
391	2107	3268
392	2111	3261
393	2115	3254
394	2119	3247
395	2123	3238
396	2127	3230
397	2131	3224
398	2135	3216
399	2139	3209
400	2144	3202
401	2151	3200
402	2157	3195
403	2161	3188
404	2165	3180
405	2169	3173
406	2173	3166
407	2177	3159
408	2181	3152
409	2184	3143
410	2188	3136
411	2193	3130
412	2197	3123
413	2201	3116
414	2204	3107
415	2208	3100
416	2212	3093
417	2215	3084
418	2219	3077
419	2223	3071
420	2227	3062
421	2231	3055
422	2234	3048
423	2239	3041
424	2243	3034
425	2247	3028
426	2251	3021
427	2255	3014
428	2259	3007
429	2263	3000
430	2267	2993
431	2271	2986
432	2274	2978
433	2278	2971
434	2282	2964
435	2286	2957
436	2289	2949
437	2294	2943
438	2298	2937
439	2301	2929
440	2305	2922
441	2309	2916
442	2314	2909
443	2318	2903
444	2322	2897
445	2326	2890
446	2331	2884
447	2336	2878
448	2340	2872
449	2344	2865
450	2348	2859
451	2352	2852
452	2356	2845
453	2361	2839
454	2365	2833
455	2369	2826
456	2373	2820
457	2377	2813
458	2382	2807
459	2386	2801
460	2389	2793
461	2393	2787
462	2397	2781
463	2402	2775
464	2406	2768
465	2411	2763
466	2415	2756
467	2419	2749
468	2423	2743
469	2427	2736
470	2430	2730
471	2435	2724
472	2438	2717
473	2443	2711
474	2447	2705
475	2451	2699
476	2454	2691
477	2458	2685
478	2463	2679
479	2467	2672
480	2471	2666
481	2475	2660
482	2479	2653
483	2483	2647
484	2487	2641
485	2491	2635
486	2495	2628
487	2499	2622
488	2503	2616
489	2507	2610
490	2511	2603
491	2516	2598
492	2519	2591
493	2524	2585
494	2527	2578
495	2532	2573
496	2536	2566
497	2540	2560
498	2543	2554
499	2548	2548
500	2551	2540
501	2555	2535
502	2559	2528
503	2563	2522
504	2567	2516
505	2570	2509
506	2574	2503
507	2578	2497
508	2582	2491
509	2587	2485
510	2591	2479
511	2595	2474
512	2599	2468
513	2604	2462
514	2608	2456
515	2612	2450
516	2616	2444
517	2621	2439
518	2625	2433
519	2629	2427
520	2634	2421
521	2638	2416
522	2643	2411
523	2648	2405
524	2651	2399
525	2655	2393
526	2659	2387
527	2664	2381
528	2668	2376
529	2673	2370
530	2676	2364
531	2681	2358
532	2684	2352
533	2689	2346
534	2693	2341
535	2697	2335
536	2700	2328
537	2704	2322
538	2708	2316
539	2712	2310
540	2716	2304
541	2720	2298
542	2724	2292
543	2727	2286
544	2731	2280
545	2734	2273
546	2738	2268
547	2742	2262
548	2746	2256
549	2751	2250
550	2755	2245
551	2759	2239
552	2763	2233
553	2767	2228
554	2771	2222
555	2774	2215
556	2778	2210
557	2782	2204
558	2786	2198
559	2791	2193
560	2795	2187
561	2799	2181
562	2803	2176
563	2808	2171
564	2812	2165
565	2815	2159
566	2819	2153
567	2824	2147
568	2828	2142
569	2832	2136
570	2836	2131
571	2841	2125
572	2845	2120
573	2849	2114
574	2853	2109
575	2858	2103
576	2862	2098
577	2866	2092
578	2870	2087
579	2874	2081
580	2878	2075
581	2882	2070
582	2886	2064
583	2891	2059
584	2895	2053
585	2899	2048
586	2903	2043
587	2908	2037
588	2911	2031
589	2915	2025
590	2919	2020
591	2923	2014
592	2927	2009
593	2931	2003
594	2934	1997
595	2939	1992
596	2943	1986
597	2947	1981
598	2951	1975
599	2955	1970
600	2960	1965
601	2964	1959
602	2968	1954
603	2972	1949
604	2976	1943
605	2981	1938
606	2985	1932
607	2989	1927
608	2993	1922
609	2997	1916
610	3001	1911
611	3005	1905
612	3009	1900
613	3014	1894
614	3018	1889
615	3021	1883
616	3025	1878
617	3029	1872
618	3033	1867
619	3038	1862
620	3042	1856
621	3046	1851
622	3050	1845
623	3054	1840
624	3058	1835
625	3062	1829
626	3065	1823
627	3070	1818
628	3074	1813
629	3078	1807
630	3082	1802
631	3086	1797
632	3090	1791
633	3093	1785
634	3097	1780
635	3101	1775
636	3105	1769
637	3110	1764
638	3114	1759
639	3118	1754
640	3122	1748
641	3126	1743
642	3131	1738
643	3135	1733
644	3138	1727
645	3142	1722
646	3146	1716
647	3149	1711
648	3154	1705
649	3158	1700
650	3162	1695
651	3166	1689
652	3170	1684
653	3174	1679
654	3178	1674
655	3182	1669
656	3186	1663
657	3191	1658
658	3195	1653
659	3199	1648
660	3202	1642
661	3207	1637
662	3210	1632
663	3215	1626
664	3219	1621
665	3223	1616
666	3226	1611
667	3231	1605
668	3234	1600
669	3238	1595
670	3242	1590
671	3247	1585
672	3251	1580
673	3256	1574
674	3260	1569
675	3264	1564
676	3268	1559
677	3272	1554
678	3276	1548
679	3280	1543
680	3284	1538
681	3287	1533
682	3292	1528
683	3296	1523
684	3301	1518
685	3304	1512
686	3308	1507
687	3312	1502
688	3316	1497
689	3320	1491
690	3324	1486
691	3329	1481
692	3332	1476
693	3337	1471
694	3341	1466
695	3345	1461
696	3349	1456
697	3353	1450
698	3357	1445
699	3361	1440
700	3365	1435
701	3370	1430
702	3373	1425
703	3378	1420
704	3383	1415
705	3388	1411
706	3392	1406
707	3397	1401
708	3402	1396
709	3406	1391
710	3411	1386
711	3415	1381
712	3418	1376
713	3422	1371
714	3426	1365
715	3431	1360
716	3435	1355
717	3439	1350
718	3443	1345
719	3448	1340
720	3452	1335
721	3456	1330
722	3459	1325
723	3463	1320
724	3467	1315
725	3471	1310
726	3475	1305
727	3479	1300
728	3483	1295
729	3487	1290
730	3491	1284
731	3495	1279
732	3499	1274
733	3503	1269
734	3507	1264
735	3512	1259
736	3516	1254
737	3520	1249
738	3524	1244
739	3528	1239
740	3532	1234
741	3536	1229
742	3540	1224
743	3544	1219
744	3548	1214
745	3552	1209
746	3557	1204
747	3561	1199
748	3565	1194
749	3569	1189
750	3573	1184
751	3577	1179
752	3581	1174
753	3585	1169
754	3589	1164
755	3594	1160
756	3597	1154
757	3602	1150
758	3606	1145
759	3610	1140
760	3613	1134
761	3618	1130
762	3622	1125
763	3626	1120
764	3630	1115
765	3634	1110
766	3638	1105
767	3642	1100
768	3646	1095
769	3650	1090
770	3654	1085
771	3659	1080
772	3663	1075
773	3667	1070
774	3671	1065
775	3675	1060
776	3679	1056
777	3683	1050
778	3686	1045
779	3690	1041
780	3694	1036
781	3699	1031
782	3702	1026
783	3707	1021
784	3711	1016
785	3714	1011
786	3718	1006
787	3722	1001
788	3726	996
789	3730	991
790	3734	986
791	3738	981
792	3742	976
793	3746	972
794	3750	967
795	3754	962
796	3758	957
797	3763	952
798	3766	947
799	3771	942
800	3775	937
801	3779	933
802	3782	928
803	3786	923
804	3790	918
805	3795	913
806	3798	908
807	3802	903
808	3807	898
809	3811	894
810	3814	888
811	3818	884
812	3822	879
813	3826	874
814	3830	869
815	3835	864
816	3838	859
817	3843	855
818	3847	850
819	3851	845
820	3855	840
821	3859	835
822	3864	831
823	3868	826
824	3872	821
825	3876	816
826	3880	811
827	3884	807
828	3888	802
829	3893	797
830	3896	792
831	3901	787
832	3905	782
833	3909	778
834	3913	773
835	3917	768
836	3921	763
837	3925	758
838	3929	754
839	3933	749
840	3937	744
841	3941	739
842	3945	734
843	3949	730
844	3953	725
845	3957	720
846	3961	715
847	3965	710
848	3969	706
849	3974	701
850	3977	696
851	3982	691
852	3986	686
853	3990	682
854	3994	677
855	3998	672
856	4003	667
857	4007	663
858	4011	658
859	4015	653
860	4019	648
861	4023	644
862	4027	639
863	4032	634
864	4036	629
865	4040	625
866	4044	620
867	4048	615
868	4053	610
869	4057	606
870	4061	601
871	4065	596
872	4068	591
873	4072	587
874	4076	582
875	4080	577
876	4084	572
877	4089	568
878	4092	563
879	4097	558
880	4101	553
881	4105	549
882	4109	544
883	4113	539
884	4117	535
885	4122	530
886	4126	525
887	4130	520
888	4134	516
889	4138	511
890	4143	506
891	4147	502
892	4151	497
893	4155	492
894	4159	488
895	4163	483
896	4167	478
897	4171	473
898	4175	469
899	4179	464
900	4183	459
901	4188	455
902	4192	450
903	4196	445
904	4200	440
905	4205	436
906	4209	431
907	4213	426
908	4217	422
909	4221	417
910	4225	412
911	4229	408
912	4233	403
913	4237	398
914	4241	394
915	4245	389
916	4249	384
917	4253	379
918	4257	375
919	4261	370
920	4266	365
921	4270	361
922	4275	356
923	4279	351
924	4284	347
925	4289	342
926	4293	338
927	4297	333
928	4301	328
929	4305	324
930	4310	319
931	4314	314
932	4318	310
933	4322	305
934	4326	300
935	4331	296
936	4335	291
937	4338	286
938	4342	282
939	4347	277
940	4351	272
941	4355	268
942	4359	263
943	4363	258
944	4367	254
945	4371	249
946	4375	244
947	4380	240
948	4383	235
949	4388	230
950	4392	226
951	4396	221
952	4400	217
953	4404	212
954	4408	207
955	4412	203
956	4416	198
957	4420	193
958	4424	189
959	4428	184
960	4432	179
961	4436	175
962	4440	170
963	4444	165
964	4448	161
965	4452	156
966	4457	152
967	4461	147
968	4465	142
969	4469	138
970	4473	133
971	4477	128
972	4481	124
973	4485	119
974	4489	115
975	4494	110
976	4498	105
977	4501	101
978	4504	96
979	4508	92
980	4512	87
981	4517	82
982	4521	78
983	4525	73
984	4529	68
985	4533	64
986	4537	59
987	4541	55
988	4545	50
989	4550	45
990	4554	41
991	4558	36
992	4561	32
993	4565	27
994	4569	22
995	4574	18
996	4578	13
997	4582	9
998	4586	4
999	4590	0
